identifier,smiles,standard_inchi,standard_inchi_key,name,iupac_name,annotation_level,total_atom_count,heavy_atom_count,molecular_weight,exact_molecular_weight,molecular_formula,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,aromatic_rings_count,qed_drug_likeliness,formal_charge,fractioncsp3,number_of_minimal_rings,van_der_walls_volume,contains_sugar,contains_ring_sugars,contains_linear_sugars,murcko_framework,np_likeness,chemical_class,chemical_sub_class,chemical_super_class,direct_parent_classification,np_classifier_pathway,np_classifier_superclass,np_classifier_class,np_classifier_is_glycoside,organisms,collections,dois,synonyms,cas,is_pains,pains_reason,inchikey,P_TR,PS,rank
CNP0232365.3,CC(=O)N[C@@H](C1=NC=CS1)[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,"InChI=1S/C17H24N2O6S/c1-8(20)19-9(14-18-6-7-26-14)10-11-12(23-16(2,3)22-11)13-15(21-10)25-17(4,5)24-13/h6-7,9-13,15H,1-5H3,(H,19,20)/t9-,10-,11+,12+,13-,15-/m1/s1",NCQWKPSQLSEZBG-CDWXYHGHSA-N,,"~{N}-[(~{R})-[(1~{S},2~{R},6~{R},8~{R},9~{S})-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0^{2,6}]dodecan-8-yl]-thiazol-2-yl-methyl]acetamide",2,50,26,384.45,384.13551,C17H24N2O6S,1.72,88.14,3,8,1,8,1,0,1,0.85,0,0.77,4,329.22,False,False,False,n1ccsc1CC2OC3OCOC3C4OCOC24,-0.01,Dioxolopyrans,Dioxolopyrans,Organoheterocyclic compounds,Dioxolopyrans,Alkaloids,,,False,,Super Natural II|Supernatural3,,"N-[(R)-[(1S,2R,6R,8R,9S)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0\u00b2,\u2076]dodecan-8-yl](1,3-thiazol-2-yl)methyl]acetamide",,False,,NCQWKPSQLSEZBG-CDWXYHGHSA-N,0.9997501969337463,0.8547864183783531,133
CNP0594070.0,CC(C)(C)OC(=O)NC1=CC=CN=C1C(=O)NC1=NC=CS1,"InChI=1S/C14H16N4O3S/c1-14(2,3)21-13(20)17-9-5-4-6-15-10(9)11(19)18-12-16-7-8-22-12/h4-8H,1-3H3,(H,17,20)(H,16,18,19)",QBMYJIFXSXKPFS-UHFFFAOYSA-N,"Tert-Butyl {2-[(1,3-Thiazol-2-Ylamino)carbonyl]pyridin-3-Yl}carbamate",~{tert}-butyl ~{N}-[2-(thiazol-2-ylcarbamoyl)-3-pyridyl]carbamate,3,38,22,320.37,320.09431,C14H16N4O3S,3.14,93.21,3,6,2,6,2,0,2,0.91,0,0.29,2,,False,False,False,n1ccsc1NCc2ncccc2,-1.83,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Organoheterocyclic compounds,Pyridinecarboxylic acids and derivatives,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,False,,DrugBankNP,,"1,1-Dimethylethyl N-[2-[(2-thiazolylamino)carbonyl]-3-pyridinyl]carbamate|2nq6|569687-83-8|BDBM17847|CHEMBL327579|DB07902|DTXSID901146917|HM4|NS00070881|PD004905|Q27097137|pyridine-2-carboxylic acid inhibitor, 1|tert-butyl [2-(1,3-thiazol-2-ylcarbamoyl)pyridin-3-yl]carbamate",569687-83-8,False,,QBMYJIFXSXKPFS-UHFFFAOYSA-N,0.9997485280036926,0.8547849914431572,134
CNP0419098.1,O[C@@H]1[C@@H](N2C=CC=N2)[C@@H]2OCC(O2)[C@H]1NCC1=CC=C(Cl)C(Cl)=C1,"InChI=1S/C16H17Cl2N3O3/c17-10-3-2-9(6-11(10)18)7-19-13-12-8-23-16(24-12)14(15(13)22)21-5-1-4-20-21/h1-6,12-16,19,22H,7-8H2/t12?,13-,14-,15+,16-/m1/s1",UMUPJBKIFWFBCD-KMVIYXDESA-N,"(2S,3S,4R,5R)-2-[(3,4-dichlorophenyl)methylamino]-4-pyrazol-1-yl-6,8-dioxabicyclo[3.2.1]octan-3-ol","(2~{S},3~{S},4~{R},5~{R})-2-[(3,4-dichlorophenyl)methylamino]-4-pyrazol-1-yl-6,8-dioxabicyclo[3.2.1]octan-3-ol",1,41,24,370.24,369.0647,C16H17Cl2N3O3,2.01,68.54,4,6,2,6,2,0,2,0.86,0,0.44,4,,False,False,False,n1cccn1C2CC(NCc3ccccc3)C4OC2OC4,-0.74,Benzene and substituted derivatives,Halobenzenes,Benzenoids,Dichlorobenzenes,,,,False,,ZINC NP,,,,False,,UMUPJBKIFWFBCD-KMVIYXDESA-N,0.999744713306427,0.8547817298769951,135
CNP0232365.2,CC(=O)N[C@@H](C1=NC=CS1)[C@H]1O[C@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,"InChI=1S/C17H24N2O6S/c1-8(20)19-9(14-18-6-7-26-14)10-11-12(23-16(2,3)22-11)13-15(21-10)25-17(4,5)24-13/h6-7,9-13,15H,1-5H3,(H,19,20)/t9-,10-,11+,12+,13-,15+/m1/s1",NCQWKPSQLSEZBG-FEPPMDFBSA-N,,"~{N}-[(~{R})-[(1~{S},2~{R},6~{S},8~{R},9~{S})-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0^{2,6}]dodecan-8-yl]-thiazol-2-yl-methyl]acetamide",2,50,26,384.45,384.13551,C17H24N2O6S,1.72,88.14,3,8,1,8,1,0,1,0.85,0,0.77,4,329.94,False,False,False,n1ccsc1CC2OC3OCOC3C4OCOC24,-0.01,Dioxolopyrans,Dioxolopyrans,Organoheterocyclic compounds,Dioxolopyrans,Alkaloids,,,False,,Super Natural II|Supernatural3,,"N-[(R)-[(1S,2R,6S,8R,9S)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.0\u00b2,\u2076]dodecan-8-yl](1,3-thiazol-2-yl)methyl]acetamide",,False,,NCQWKPSQLSEZBG-FEPPMDFBSA-N,0.999743640422821,0.854780812561512,136
CNP0328648.1,O[C@@H]1[C@@H](N2C=CC=N2)[C@@H]2OCC(O2)[C@H]1NC1CC2=CC=CC=C2C1,"InChI=1S/C18H21N3O3/c22-17-15(20-13-8-11-4-1-2-5-12(11)9-13)14-10-23-18(24-14)16(17)21-7-3-6-19-21/h1-7,13-18,20,22H,8-10H2/t14?,15-,16-,17+,18-/m1/s1",ISHVMLBMFGUKJW-JRACIQGZSA-N,"(2S,3S,4R,5R)-2-(2,3-dihydro-1H-inden-2-ylamino)-4-pyrazol-1-yl-6,8-dioxabicyclo[3.2.1]octan-3-ol","(2~{S},3~{S},4~{R},5~{R})-2-(indan-2-ylamino)-4-pyrazol-1-yl-6,8-dioxabicyclo[3.2.1]octan-3-ol",1,45,24,327.38,327.15829,C18H21N3O3,0.67,68.54,3,6,2,6,2,0,2,0.87,0,0.5,5,,False,False,False,n1cccn1C2CC(NC3Cc4ccccc4C3)C5OC2OC5,-0.28,Indanes,Indanes,Benzenoids,Indanes,Alkaloids,,,False,,ZINC NP,,,,False,,ISHVMLBMFGUKJW-JRACIQGZSA-N,0.9997313618659973,0.8547703143954277,137
CNP0557564.0,COC1=CC=C(CCNC(=O)C2=CSN=N2)C=C1OC,"InChI=1S/C13H15N3O3S/c1-18-11-4-3-9(7-12(11)19-2)5-6-14-13(17)10-8-20-16-15-10/h3-4,7-8H,5-6H2,1-2H3,(H,14,17)",YBXBVICZLDGEHA-UHFFFAOYSA-N,"N-[2-(3,4-dimethoxyphenyl)ethyl]-1,2,3-thiadiazole-4-carboxamide","~{N}-[2-(3,4-dimethoxyphenyl)ethyl]thiadiazole-4-carboxamide",3,35,20,293.35,293.08341,C13H15N3O3S,1.53,73.34,6,6,1,6,1,0,2,0.87,0,0.31,2,,False,False,False,n1nc(cs1)CNCCc2ccccc2,-1.41,Benzene and substituted derivatives,Methoxybenzenes,Benzenoids,Dimethoxybenzenes,Alkaloids,,,False,,Supernatural3,,"898524-80-6|AKOS001528099|N-[2-(3,4-dimethoxyphenyl)ethyl]-1,2,3-thiadiazole-4-carboxamide|STL230356|Z741289920",898524-80-6,False,,YBXBVICZLDGEHA-UHFFFAOYSA-N,0.9997275471687317,0.8547670528292656,138
CNP0554896.1,COC1=CC=CC=C1NC(=O)N1C[C@@H]2[C@H](O)C(=O)N(CC3=CC=CC=C3)[C@@H]2C1,"InChI=1S/C21H23N3O4/c1-28-18-10-6-5-9-16(18)22-21(27)23-12-15-17(13-23)24(20(26)19(15)25)11-14-7-3-2-4-8-14/h2-10,15,17,19,25H,11-13H2,1H3,(H,22,27)/t15-,17+,19-/m0/s1",GTFZKWMHZCJNAH-WDYCEAGBSA-N,,"(3~{S},3~{a}~{S},6~{a}~{S})-1-benzyl-3-hydroxy-~{N}-(2-methoxyphenyl)-2-oxo-3~{a},4,6,6~{a}-tetrahydro-3~{H}-pyrrolo[3,4-b]pyrrole-5-carboxamide",3,51,28,381.43,381.16886,C21H23N3O4,1.93,82.11,4,4,2,4,2,0,2,0.85,0,0.33,4,342.42,False,False,False,c1ccc(cc1)NCN2CC3N(Cc4ccccc4)CCC3C2,-0.75,Benzene and substituted derivatives,N-phenylureas,Benzenoids,N-phenylureas,Alkaloids,Ornithine alkaloids,Pyrrolidine alkaloids,False,,Supernatural3,,"(3S,3aS,6aS)-1-benzyl-3-hydroxy-N-(2-methoxyphenyl)-2-oxo-3a,4,6,6a-tetrahydro-3H-pyrrolo[3,4-b]pyrrole-5-carboxamide",,False,,GTFZKWMHZCJNAH-WDYCEAGBSA-N,0.9997124075889587,0.8547541084885597,139
CNP0551754.1,CC(C)(C)CCN[C@@H]1C2CO[C@H](O2)[C@H](N2C=C(C3=CC=CC=C3)C=N2)[C@H]1O,"InChI=1S/C21H29N3O3/c1-21(2,3)9-10-22-17-16-13-26-20(27-16)18(19(17)25)24-12-15(11-23-24)14-7-5-4-6-8-14/h4-8,11-12,16-20,22,25H,9-10,13H2,1-3H3/t16?,17-,18-,19+,20-/m1/s1",VNKGYYFYSDODMK-MUKFEANQSA-N,"(1S,2S,3S,4R,5R)-2-(3,3-dimethylbutylamino)-4-(4-phenylpyrazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-3-ol","(2~{S},3~{S},4~{R},5~{R})-2-(3,3-dimethylbutylamino)-4-(4-phenylpyrazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-3-ol",3,56,27,371.48,371.22089,C21H29N3O3,2.6,68.54,5,6,2,6,2,0,2,0.85,0,0.57,4,,False,False,False,n1cc(cn1C2CCC3OC2OC3)-c4ccccc4,-0.17,Azoles,Pyrazoles,Organoheterocyclic compounds,Phenylpyrazoles,Alkaloids,,,False,,Supernatural3,,"(1S,2S,3S,4R,5R)-2-(3,3-dimethylbutylamino)-4-(4-phenylpyrazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-3-ol",,False,,VNKGYYFYSDODMK-MUKFEANQSA-N,0.9997089505195618,0.8547511526942253,140
CNP0299413.1,COC1=C(SC)/C(=C/N=O)NC(C2=CC=CC=C2)=C1,"InChI=1S/C14H14N2O2S/c1-18-13-8-11(10-6-4-3-5-7-10)16-12(9-15-17)14(13)19-2/h3-9,16H,1-2H3/b12-9-",INRNCTSPTIDWJG-XFXZXTDPSA-N,,,0,33,19,274.34,274.0776,C14H14N2O2S,3.46,50.69,4,5,1,5,1,0,1,0.85,0,0.14,2,242.47,False,False,False,c1ccc(cc1)C2=CC=CCN2,0.04,,,,,Alkaloids,,,False,Streptomyces,ChemSpider NPs|StreptomeDB|WikiData Natural Products,10.1016/J.BMCL.2011.08.023|10.1016/j.bmcl.2011.08.023,,,False,,INRNCTSPTIDWJG-XFXZXTDPSA-N,0.9997071623802185,0.8547496238350868,141
CNP0546197.1,COC1=CC=CC(CN2C[C@@H]3[C@H](O)C(=O)N(CC4=CC=CC=C4)[C@@H]3C2)=N1,"InChI=1S/C20H23N3O3/c1-26-18-9-5-8-15(21-18)11-22-12-16-17(13-22)23(20(25)19(16)24)10-14-6-3-2-4-7-14/h2-9,16-17,19,24H,10-13H2,1H3/t16-,17+,19-/m0/s1",ZPIQWDNXFDENAA-SCTDSRPQSA-N,,"(3~{S},3~{a}~{S},6~{a}~{S})-1-benzyl-3-hydroxy-5-[(6-methoxy-2-pyridyl)methyl]-3~{a},4,6,6~{a}-tetrahydro-3~{H}-pyrrolo[3,4-b]pyrrol-2-one",3,49,26,353.42,353.17394,C20H23N3O3,1.29,65.9,5,5,1,5,1,0,2,0.88,0,0.4,4,,False,False,False,n1ccccc1CN2CC3N(Cc4ccccc4)CCC3C2,-0.75,Pyridines and derivatives,2-pyridylmethylamines,Organoheterocyclic compounds,6-substituted-2-pyridinylmethylamines,Alkaloids,,,False,,Supernatural3,,"(3S,3aS,6aS)-1-benzyl-3-hydroxy-5-[(6-methoxypyridin-2-yl)methyl]-3a,4,6,6a-tetrahydro-3H-pyrrolo[3,4-b]pyrrol-2-one",,False,,ZPIQWDNXFDENAA-SCTDSRPQSA-N,0.999691367149353,0.8547361189126969,142
