smiles,identifier,P_TR,PS,rank
CC[C@H]1CN(C(C)=O)CC[C@H]1CC(=O)NC1=NC=CS1,CNP0067588.1,0.003623065771535039,0.0030977212346624573,2816
CC1=NC(C2=CC=CO2)=CC([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)C2CC2)=N1,CNP0012490.2,0.0036049012560397387,0.003082190573913977,2817
CC1=CC=CC(CN2C[C@@H]3C[C@H]2C(=O)N(C)C2=CC=CC=C2O3)=N1,CNP0237143.1,0.0036037382669746876,0.0030811962182633584,2818
COC1=CC(OC)=CC(C(=O)N[C@H](C)CCC2=CC=CC=C2)=C1,CNP0509995.2,0.003596015740185976,0.0030745934578590094,2819
O=C(C1=CC=CN=C1)N1C[C@@H]2C[C@@H](O)CN2C2(CN(CCC3=CC=CC=C3)C2)C1,CNP0016754.1,0.0035681906156241894,0.003050802976358681,2820
CN(C)CC1=CC(C[C@@H]2C[C@H](NCC3=CC=NC=C3)C2(C)C)=NO1,CNP0003824.1,0.003562226193025708,0.0030457033950369804,2821
CN(C)CC1=CC(C[C@@H]2C[C@H](NC(=O)C3=CC=CC=C3)C2(C)C)=NO1,CNP0501895.1,0.0035562701523303986,0.0030406109802424896,2822
CN1CCC(O)(C2=CSC(CN3CCC4=CC=CC=C4C3)=N2)CC1,CNP0413284.0,0.0035416146274656057,0.003028080506483093,2823
O=C(O)C1=CC=C(CN2CCN3C(=O)N(C4=CC=CC=C4)C[C@H]3C2)C=C1,CNP0005408.1,0.003539998084306717,0.003026698362082243,2824
CC(C)[C@H](C(=O)N1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2)N1C=CC=C1,CNP0408795.1,0.0035235758405178785,0.003012657343642787,2825
COC1=CC=C(C(=O)NC2=CC(OC)=CC=C2C(=O)O)C=C1,CNP0610529.0,0.003523105289787054,0.0030122550227679313,2826
COC1=CC(C)=C2CC[C@@H]([C@H](C)C(=O)NC3=NC=CS3)CC2=C1C,CNP0245162.1,0.0035161415580660105,0.00300630103214644,2827
COC1=CC=C(O)C(CCC2=CC=CC=C2)=N1,CNP0413322.0,0.003495194483548403,0.002988391283433885,2828
NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1C[C@@H]2C[C@H](C1)C1=CC=CC(=O)N1C2,CNP0288240.1,0.003467029659077525,0.0029643103585112844,2829
O=C(O)C1=CC=CC=C1C(=O)NC1=CC=CC=C1,CNP0159018.0,0.003466597991064191,0.0029639412823598828,2830
COC1=CC(/C=C2\C(=O)NC3=CC=CC=C23)=CC(OC)=C1O,CNP0486314.1,0.003463612636551261,0.002961388804251327,2831
CN1C=C([C@H]2N3C[C@@]4(C)C[N@]2C[C@@](C)(C3)[C@@H]4O)C2=CC=CC=C21,CNP0287319.2,0.003462502034381032,0.0029604392393957814,2832
COCC(=O)N1CCN2[C@@H](C1)CN(C(=O)NCC1=CC=CC=C1)CC2(C)C,CNP0108541.1,0.0034548728726804256,0.0029539163061417626,2833
